description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
1 Gift of Lost Magic 1 + 1 Scroll of Identify -> 3 Lost Magic	1								2	gf1	isc						10k																													11a																													143																													0
1 Gift of Lost Magic 2 + 1 Scroll of Identify -> 3 Lost Magic	1								2	gf2	isc						11p																													14s																													159																													0
1 Gift of Lost Magic 3 + 1 Scroll of Identify -> 3 Lost Magic	1								2	gf3	isc						130																													13b																													12n																													0
1 Lost Magic of Avoid + 1 Lost Magic of Avoid -> 1 Lost Magic of Avoid more skills	1								2	100,qty=2							usetype				oskill		018	0	10																																																																															0
1 Lost Magic of Charged Strike + 1 Lost Magic of Charged Strike -> 1 Lost Magic of Charged Strike more skills	1								2	101,qty=2							usetype				oskill		024	0	10																																																																															0
1 Lost Magic of Cold Arrow + 1 Lost Magic of Cold Arrow -> 1 Lost Magic of Cold Arrow more skills	1								2	102,qty=2							usetype				oskill		011	0	10																																																																															0
1 Lost Magic of Critical Strike + 1 Lost Magic of Critical Strike -> 1 Lost Magic of Critical Strike more skills	1								2	103,qty=2							usetype				oskill		009	0	10																																																																															0
1 Lost Magic of Decoy + 1 Lost Magic of Decoy -> 1 Lost Magic of Decoy more skills	1								2	104,qty=2							usetype				oskill		028	0	10																																																																															0
1 Lost Magic of Dodge + 1 Lost Magic of Dodge -> 1 Lost Magic of Dodge more skills	1								2	105,qty=2							usetype				oskill		013	0	10																																																																															0
1 Lost Magic of Evade + 1 Lost Magic of Evade -> 1 Lost Magic of Evade more skills	1								2	106,qty=2							usetype				oskill		029	0	10																																																																															0
1 Lost Magic of Exploding Arrow + 1 Lost Magic of Exploding Arrow -> 1 Lost Magic of Exploding Arrow more skills	1								2	107,qty=2							usetype				oskill		016	0	10																																																																															0
1 Lost Magic of Fend + 1 Lost Magic of Fend -> 1 Lost Magic of Fend more skills	1								2	108,qty=2							usetype				oskill		030	0	10																																																																															0
1 Lost Magic of Fire Arrow + 1 Lost Magic of Fire Arrow -> 1 Lost Magic of Fire Arrow more skills	1								2	109,qty=2							usetype				oskill		007	0	10																																																																															0
1 Lost Magic of Freezing Arrow + 1 Lost Magic of Freezing Arrow -> 1 Lost Magic of Freezing Arrow more skills	1								2	10a,qty=2							usetype				oskill		031	0	10																																																																															0
1 Lost Magic of Guided Arrow + 1 Lost Magic of Guided Arrow -> 1 Lost Magic of Guided Arrow more skills	1								2	10b,qty=2							usetype				oskill		022	0	10																																																																															0
1 Lost Magic of Ice Arrow + 1 Lost Magic of Ice Arrow -> 1 Lost Magic of Ice Arrow more skills	1								2	10c,qty=2							usetype				oskill		021	0	10																																																																															0
1 Lost Magic of Immolation Arrow + 1 Lost Magic of Immolation Arrow -> 1 Lost Magic of Immolation Arrow more skills	1								2	10d,qty=2							usetype				oskill		027	0	10																																																																															0
1 Lost Magic of Impale + 1 Lost Magic of Impale -> 1 Lost Magic of Impale more skills	1								2	10e,qty=2							usetype				oskill		019	0	10																																																																															0
1 Lost Magic of Inner Sight + 1 Lost Magic of Inner Sight -> 1 Lost Magic of Inner Sight more skills	1								2	10f,qty=2							usetype				oskill		008	0	10																																																																															0
1 Lost Magic of Jab + 1 Lost Magic of Jab -> 1 Lost Magic of Jab more skills	1								2	10g,qty=2							usetype				oskill		010	0	10																																																																															0
1 Lost Magic of Lightning Bolt + 1 Lost Magic of Lightning Bolt -> 1 Lost Magic of Lightning Bolt more skills	1								2	10h,qty=2							usetype				oskill		020	0	10																																																																															0
1 Lost Magic of Lightning Fury + 1 Lost Magic of Lightning Fury -> 1 Lost Magic of Lightning Fury more skills	1								2	10i,qty=2							usetype				oskill		035	0	10																																																																															0
1 Lost Magic of Lightning Strike + 1 Lost Magic of Lightning Strike -> 1 Lost Magic of Lightning Strike more skills	1								2	10j,qty=2							usetype				oskill		034	0	10																																																																															0
1 Lost Magic of Magic Arrow + 1 Lost Magic of Magic Arrow -> 1 Lost Magic of Magic Arrow more skills	1								2	10k,qty=2							usetype				oskill		006	0	10																																																																															0
1 Lost Magic of Multiple Shot + 1 Lost Magic of Multiple Shot -> 1 Lost Magic of Multiple Shot more skills	1								2	10l,qty=2							usetype				oskill		012	0	10																																																																															0
1 Lost Magic of Penetrate + 1 Lost Magic of Penetrate -> 1 Lost Magic of Penetrate more skills	1								2	10m,qty=2							usetype				oskill		023	0	10																																																																															0
1 Lost Magic of Pierce + 1 Lost Magic of Pierce -> 1 Lost Magic of Pierce more skills	1								2	10n,qty=2							usetype				oskill		033	0	10																																																																															0
1 Lost Magic of Plague Javelin + 1 Lost Magic of Plague Javelin -> 1 Lost Magic of Plague Javelin more skills	1								2	10o,qty=2							usetype				oskill		025	0	10																																																																															0
1 Lost Magic of Poison Javelin + 1 Lost Magic of Poison Javelin -> 1 Lost Magic of Poison Javelin more skills	1								2	10p,qty=2							usetype				oskill		015	0	10																																																																															0
1 Lost Magic of Power Strike + 1 Lost Magic of Power Strike -> 1 Lost Magic of Power Strike more skills	1								2	10q,qty=2							usetype				oskill		014	0	10																																																																															0
1 Lost Magic of Slow Missiles + 1 Lost Magic of Slow Missiles -> 1 Lost Magic of Slow Missiles more skills	1								2	10r,qty=2							usetype				oskill		017	0	10																																																																															0
1 Lost Magic of Strafe + 1 Lost Magic of Strafe -> 1 Lost Magic of Strafe more skills	1								2	10s,qty=2							usetype				oskill		026	0	10																																																																															0
1 Lost Magic of Valkyrie + 1 Lost Magic of Valkyrie -> 1 Lost Magic of Valkyrie more skills	1								2	10t,qty=2							usetype				oskill		032	0	10																																																																															0
1 Lost Magic of Blades of Ice + 1 Lost Magic of Blades of Ice -> 1 Lost Magic of Blades of Ice more skills	1								2	10u,qty=2							usetype				oskill		274	0	10																																																																															0
1 Lost Magic of Blade Fury + 1 Lost Magic of Blade Fury -> 1 Lost Magic of Blade Fury more skills	1								2	10v,qty=2							usetype				oskill		266	0	10																																																																															0
1 Lost Magic of Blade Sentinel + 1 Lost Magic of Blade Sentinel -> 1 Lost Magic of Blade Sentinel more skills	1								2	10w,qty=2							usetype				oskill		257	0	10																																																																															0
1 Lost Magic of Blade Shield + 1 Lost Magic of Blade Shield -> 1 Lost Magic of Blade Shield more skills	1								2	10x,qty=2							usetype				oskill		277	0	10																																																																															0
1 Lost Magic of Burst of Speed + 1 Lost Magic of Burst of Speed -> 1 Lost Magic of Burst of Speed more skills	1								2	10y,qty=2							usetype				oskill		258	0	10																																																																															0
1 Lost Magic of Charged Bolt Sentry + 1 Lost Magic of Charged Bolt Sentry -> 1 Lost Magic of Charged Bolt Sentry more skills	1								2	10z,qty=2							usetype				oskill		261	0	10																																																																															0
1 Lost Magic of Claws of Thunder + 1 Lost Magic of Claws of Thunder -> 1 Lost Magic of Claws of Thunder more skills	1								2	110,qty=2							usetype				oskill		269	0	10																																																																															0
1 Lost Magic of Claw Mastery + 1 Lost Magic of Claw Mastery -> 1 Lost Magic of Claw Mastery more skills	1								2	111,qty=2							usetype				oskill		252	0	10																																																																															0
1 Lost Magic of Cloak of Shadows + 1 Lost Magic of Cloak of Shadows -> 1 Lost Magic of Cloak of Shadows more skills	1								2	112,qty=2							usetype				oskill		264	0	10																																																																															0
1 Lost Magic of Cobra Strike + 1 Lost Magic of Cobra Strike -> 1 Lost Magic of Cobra Strike more skills	1								2	113,qty=2							usetype				oskill		265	0	10																																																																															0
1 Lost Magic of Death Sentry + 1 Lost Magic of Death Sentry -> 1 Lost Magic of Death Sentry more skills	1								2	114,qty=2							usetype				oskill		276	0	10																																																																															0
1 Lost Magic of Dragon Claw + 1 Lost Magic of Dragon Claw -> 1 Lost Magic of Dragon Claw more skills	1								2	115,qty=2							usetype				oskill		260	0	10																																																																															0
1 Lost Magic of Dragon Flight + 1 Lost Magic of Dragon Flight -> 1 Lost Magic of Dragon Flight more skills	1								2	116,qty=2							usetype				oskill		275	0	10																																																																															0
1 Lost Magic of Dragon Tail + 1 Lost Magic of Dragon Tail -> 1 Lost Magic of Dragon Tail more skills	1								2	117,qty=2							usetype				oskill		270	0	10																																																																															0
1 Lost Magic of Dragon Talon + 1 Lost Magic of Dragon Talon -> 1 Lost Magic of Dragon Talon more skills	1								2	118,qty=2							usetype				oskill		255	0	10																																																																															0
1 Lost Magic of Fade + 1 Lost Magic of Fade -> 1 Lost Magic of Fade more skills	1								2	119,qty=2							usetype				oskill		267	0	10																																																																															0
1 Lost Magic of Fire Blast + 1 Lost Magic of Fire Blast -> 1 Lost Magic of Fire Blast more skills	1								2	11a,qty=2							usetype				oskill		251	0	10																																																																															0
1 Lost Magic of Fists of Fire + 1 Lost Magic of Fists of Fire -> 1 Lost Magic of Fists of Fire more skills	1								2	11b,qty=2							usetype				oskill		259	0	10																																																																															0
1 Lost Magic of Lightning Sentry + 1 Lost Magic of Lightning Sentry -> 1 Lost Magic of Lightning Sentry more skills	1								2	11c,qty=2							usetype				oskill		271	0	10																																																																															0
1 Lost Magic of Mind Blast + 1 Lost Magic of Mind Blast -> 1 Lost Magic of Mind Blast more skills	1								2	11d,qty=2							usetype				oskill		273	0	10																																																																															0
1 Lost Magic of Phoenix Strike + 1 Lost Magic of Phoenix Strike -> 1 Lost Magic of Phoenix Strike more skills	1								2	11e,qty=2							usetype				oskill		280	0	10																																																																															0
1 Lost Magic of Psychic Hammer + 1 Lost Magic of Psychic Hammer -> 1 Lost Magic of Psychic Hammer more skills	1								2	11f,qty=2							usetype				oskill		253	0	10																																																																															0
1 Lost Magic of Shadow Master + 1 Lost Magic of Shadow Master -> 1 Lost Magic of Shadow Master more skills	1								2	11g,qty=2							usetype				oskill		279	0	10																																																																															0
1 Lost Magic of Shadow Warrior + 1 Lost Magic of Shadow Warrior -> 1 Lost Magic of Shadow Warrior more skills	1								2	11h,qty=2							usetype				oskill		268	0	10																																																																															0
1 Lost Magic of Shock Web + 1 Lost Magic of Shock Web -> 1 Lost Magic of Shock Web more skills	1								2	11i,qty=2							usetype				oskill		256	0	10																																																																															0
1 Lost Magic of Tiger Strike + 1 Lost Magic of Tiger Strike -> 1 Lost Magic of Tiger Strike more skills	1								2	11j,qty=2							usetype				oskill		254	0	10																																																																															0
1 Lost Magic of Venom + 1 Lost Magic of Venom -> 1 Lost Magic of Venom more skills	1								2	11k,qty=2							usetype				oskill		278	0	10																																																																															0
1 Lost Magic of Wake of Fire + 1 Lost Magic of Wake of Fire -> 1 Lost Magic of Wake of Fire more skills	1								2	11l,qty=2							usetype				oskill		262	0	10																																																																															0
1 Lost Magic of Wake of Inferno + 1 Lost Magic of Wake of Inferno -> 1 Lost Magic of Wake of Inferno more skills	1								2	11m,qty=2							usetype				oskill		272	0	10																																																																															0
1 Lost Magic of Weapon Block + 1 Lost Magic of Weapon Block -> 1 Lost Magic of Weapon Block more skills	1								2	11n,qty=2							usetype				oskill		263	0	10																																																																															0
1 Lost Magic of Axe Mastery + 1 Lost Magic of Axe Mastery -> 1 Lost Magic of Axe Mastery more skills	1								2	11o,qty=2							usetype				oskill		128	0	10																																																																															0
1 Lost Magic of Bash + 1 Lost Magic of Bash -> 1 Lost Magic of Bash more skills	1								2	11p,qty=2							usetype				oskill		126	0	10																																																																															0
1 Lost Magic of Battle Command + 1 Lost Magic of Battle Command -> 1 Lost Magic of Battle Command more skills	1								2	11q,qty=2							usetype				oskill		155	0	10																																																																															0
1 Lost Magic of Battle Cry + 1 Lost Magic of Battle Cry -> 1 Lost Magic of Battle Cry more skills	1								2	11r,qty=2							usetype				oskill		146	0	10																																																																															0
1 Lost Magic of Battle Orders + 1 Lost Magic of Battle Orders -> 1 Lost Magic of Battle Orders more skills	1								2	11s,qty=2							usetype				oskill		149	0	10																																																																															0
1 Lost Magic of Berserk + 1 Lost Magic of Berserk -> 1 Lost Magic of Berserk more skills	1								2	11t,qty=2							usetype				oskill		152	0	10																																																																															0
1 Lost Magic of Blade Mastery + 1 Lost Magic of Blade Mastery -> 1 Lost Magic of Blade Mastery more skills	1								2	11u,qty=2							usetype				oskill		127	0	10																																																																															0
1 Lost Magic of Concentrate + 1 Lost Magic of Concentrate -> 1 Lost Magic of Concentrate more skills	1								2	11v,qty=2							usetype				oskill		144	0	10																																																																															0
1 Lost Magic of Double Swing + 1 Lost Magic of Double Swing -> 1 Lost Magic of Double Swing more skills	1								2	11w,qty=2							usetype				oskill		133	0	10																																																																															0
1 Lost Magic of Double Throw + 1 Lost Magic of Double Throw -> 1 Lost Magic of Double Throw more skills	1								2	11x,qty=2							usetype				oskill		140	0	10																																																																															0
1 Lost Magic of Find Item + 1 Lost Magic of Find Item -> 1 Lost Magic of Find Item more skills	1								2	11y,qty=2							usetype				oskill		142	0	10																																																																															0
1 Lost Magic of Find Potion + 1 Lost Magic of Find Potion -> 1 Lost Magic of Find Potion more skills	1								2	11z,qty=2							usetype				oskill		131	0	10																																																																															0
1 Lost Magic of Frenzy + 1 Lost Magic of Frenzy -> 1 Lost Magic of Frenzy more skills	1								2	120,qty=2							usetype				oskill		147	0	10																																																																															0
1 Lost Magic of Grim Ward + 1 Lost Magic of Grim Ward -> 1 Lost Magic of Grim Ward more skills	1								2	121,qty=2							usetype				oskill		150	0	10																																																																															0
1 Lost Magic of Howl + 1 Lost Magic of Howl -> 1 Lost Magic of Howl more skills	1								2	122,qty=2							usetype				oskill		130	0	10																																																																															0
1 Lost Magic of Increased Speed + 1 Lost Magic of Increased Speed -> 1 Lost Magic of Increased Speed more skills	1								2	123,qty=2							usetype				oskill		148	0	10																																																																															0
1 Lost Magic of Increased Stamina + 1 Lost Magic of Increased Stamina -> 1 Lost Magic of Increased Stamina more skills	1								2	124,qty=2							usetype				oskill		141	0	10																																																																															0
1 Lost Magic of Iron Skin + 1 Lost Magic of Iron Skin -> 1 Lost Magic of Iron Skin more skills	1								2	125,qty=2							usetype				oskill		145	0	10																																																																															0
1 Lost Magic of Leap + 1 Lost Magic of Leap -> 1 Lost Magic of Leap more skills	1								2	126,qty=2							usetype				oskill		132	0	10																																																																															0
1 Lost Magic of Leap Attack + 1 Lost Magic of Leap Attack -> 1 Lost Magic of Leap Attack more skills	1								2	127,qty=2							usetype				oskill		143	0	10																																																																															0
1 Lost Magic of Mace Mastery + 1 Lost Magic of Mace Mastery -> 1 Lost Magic of Mace Mastery more skills	1								2	128,qty=2							usetype				oskill		129	0	10																																																																															0
1 Lost Magic of Natural Resistance + 1 Lost Magic of Natural Resistance -> 1 Lost Magic of Natural Resistance more skills	1								2	129,qty=2							usetype				oskill		153	0	10																																																																															0
1 Lost Magic of Polearm Mastery + 1 Lost Magic of Polearm Mastery -> 1 Lost Magic of Polearm Mastery more skills	1								2	12a,qty=2							usetype				oskill		134	0	10																																																																															0
1 Lost Magic of Shout + 1 Lost Magic of Shout -> 1 Lost Magic of Shout more skills	1								2	12b,qty=2							usetype				oskill		138	0	10																																																																															0
1 Lost Magic of Spear Mastery + 1 Lost Magic of Spear Mastery -> 1 Lost Magic of Spear Mastery more skills	1								2	12c,qty=2							usetype				oskill		136	0	10																																																																															0
1 Lost Magic of Stun + 1 Lost Magic of Stun -> 1 Lost Magic of Stun more skills	1								2	12d,qty=2							usetype				oskill		139	0	10																																																																															0
1 Lost Magic of Taunt + 1 Lost Magic of Taunt -> 1 Lost Magic of Taunt more skills	1								2	12e,qty=2							usetype				oskill		137	0	10																																																																															0
1 Lost Magic of Throwing Mastery + 1 Lost Magic of Throwing Mastery -> 1 Lost Magic of Throwing Mastery more skills	1								2	12f,qty=2							usetype				oskill		135	0	10																																																																															0
1 Lost Magic of War Cry + 1 Lost Magic of War Cry -> 1 Lost Magic of War Cry more skills	1								2	12g,qty=2							usetype				oskill		154	0	10																																																																															0
1 Lost Magic of Whirlwind + 1 Lost Magic of Whirlwind -> 1 Lost Magic of Whirlwind more skills	1								2	12h,qty=2							usetype				oskill		151	0	10																																																																															0
1 Lost Magic of Arctic Blast + 1 Lost Magic of Arctic Blast -> 1 Lost Magic of Arctic Blast more skills	1								2	12i,qty=2							usetype				oskill		230	0	10																																																																															0
1 Lost Magic of Armageddon + 1 Lost Magic of Armageddon -> 1 Lost Magic of Armageddon more skills	1								2	12j,qty=2							usetype				oskill		249	0	10																																																																															0
1 Lost Magic of Carrion Vine + 1 Lost Magic of Carrion Vine -> 1 Lost Magic of Carrion Vine more skills	1								2	12k,qty=2							usetype				oskill		231	0	10																																																																															0
1 Lost Magic of Cyclone Armor + 1 Lost Magic of Cyclone Armor -> 1 Lost Magic of Cyclone Armor more skills	1								2	12l,qty=2							usetype				oskill		235	0	10																																																																															0
1 Lost Magic of Feral Rage + 1 Lost Magic of Feral Rage -> 1 Lost Magic of Feral Rage more skills	1								2	12m,qty=2							usetype				oskill		232	0	10																																																																															0
1 Lost Magic of Firestorm + 1 Lost Magic of Firestorm -> 1 Lost Magic of Firestorm more skills	1								2	12n,qty=2							usetype				oskill		225	0	10																																																																															0
1 Lost Magic of Fire Claws + 1 Lost Magic of Fire Claws -> 1 Lost Magic of Fire Claws more skills	1								2	12o,qty=2							usetype				oskill		239	0	10																																																																															0
1 Lost Magic of Fissure + 1 Lost Magic of Fissure -> 1 Lost Magic of Fissure more skills	1								2	12p,qty=2							usetype				oskill		234	0	10																																																																															0
1 Lost Magic of Fury + 1 Lost Magic of Fury -> 1 Lost Magic of Fury more skills	1								2	12q,qty=2							usetype				oskill		248	0	10																																																																															0
1 Lost Magic of Heart of Wolverine + 1 Lost Magic of Heart of Wolverine -> 1 Lost Magic of Heart of Wolverine more skills	1								2	12r,qty=2							usetype				oskill		236	0	10																																																																															0
1 Lost Magic of Hunger + 1 Lost Magic of Hunger -> 1 Lost Magic of Hunger more skills	1								2	12s,qty=2							usetype				oskill		242	0	10																																																																															0
1 Lost Magic of Hurricane + 1 Lost Magic of Hurricane -> 1 Lost Magic of Hurricane more skills	1								2	12t,qty=2							usetype				oskill		250	0	10																																																																															0
1 Lost Magic of Lycanthropy + 1 Lost Magic of Lycanthropy -> 1 Lost Magic of Lycanthropy more skills	1								2	12u,qty=2							usetype				oskill		224	0	10																																																																															0
1 Lost Magic of Maul + 1 Lost Magic of Maul -> 1 Lost Magic of Maul more skills	1								2	12v,qty=2							usetype				oskill		233	0	10																																																																															0
1 Lost Magic of Molten Boulder + 1 Lost Magic of Molten Boulder -> 1 Lost Magic of Molten Boulder more skills	1								2	12w,qty=2							usetype				oskill		229	0	10																																																																															0
1 Lost Magic of Oak Sage + 1 Lost Magic of Oak Sage -> 1 Lost Magic of Oak Sage more skills	1								2	12x,qty=2							usetype				oskill		226	0	10																																																																															0
1 Lost Magic of Poison Creeper + 1 Lost Magic of Poison Creeper -> 1 Lost Magic of Poison Creeper more skills	1								2	12y,qty=2							usetype				oskill		222	0	10																																																																															0
1 Lost Magic of Rabies + 1 Lost Magic of Rabies -> 1 Lost Magic of Rabies more skills	1								2	12z,qty=2							usetype				oskill		238	0	10																																																																															0
1 Lost Magic of Raven + 1 Lost Magic of Raven -> 1 Lost Magic of Raven more skills	1								2	130,qty=2							usetype				oskill		221	0	10																																																																															0
1 Lost Magic of Shock Wave + 1 Lost Magic of Shock Wave -> 1 Lost Magic of Shock Wave more skills	1								2	131,qty=2							usetype				oskill		243	0	10																																																																															0
1 Lost Magic of Solar Creeper + 1 Lost Magic of Solar Creeper -> 1 Lost Magic of Solar Creeper more skills	1								2	132,qty=2							usetype				oskill		241	0	10																																																																															0
1 Lost Magic of Spirit of Barbs + 1 Lost Magic of Spirit of Barbs -> 1 Lost Magic of Spirit of Barbs more skills	1								2	133,qty=2							usetype				oskill		246	0	10																																																																															0
1 Lost Magic of Summon Dire Wolf + 1 Lost Magic of Summon Dire Wolf -> 1 Lost Magic of Summon Dire Wolf more skills	1								2	134,qty=2							usetype				oskill		237	0	10																																																																															0
1 Lost Magic of Summon Grizzly + 1 Lost Magic of Summon Grizzly -> 1 Lost Magic of Summon Grizzly more skills	1								2	135,qty=2							usetype				oskill		247	0	10																																																																															0
1 Lost Magic of Summon Spirit Wolf + 1 Lost Magic of Summon Spirit Wolf -> 1 Lost Magic of Summon Spirit Wolf more skills	1								2	136,qty=2							usetype				oskill		227	0	10																																																																															0
1 Lost Magic of Tornado + 1 Lost Magic of Tornado -> 1 Lost Magic of Tornado more skills	1								2	137,qty=2							usetype				oskill		245	0	10																																																																															0
1 Lost Magic of Twister + 1 Lost Magic of Twister -> 1 Lost Magic of Twister more skills	1								2	138,qty=2							usetype				oskill		240	0	10																																																																															0
1 Lost Magic of Volcano + 1 Lost Magic of Volcano -> 1 Lost Magic of Volcano more skills	1								2	139,qty=2							usetype				oskill		244	0	10																																																																															0
1 Lost Magic of Werebear + 1 Lost Magic of Werebear -> 1 Lost Magic of Werebear more skills	1								2	13a,qty=2							usetype				oskill		228	0	10																																																																															0
1 Lost Magic of Werewolf + 1 Lost Magic of Werewolf -> 1 Lost Magic of Werewolf more skills	1								2	13b,qty=2							usetype				oskill		223	0	10																																																																															0
1 Lost Magic of Amplify Damage + 1 Lost Magic of Amplify Damage -> 1 Lost Magic of Amplify Damage more skills	1								2	13c,qty=2							usetype				oskill		066	0	10																																																																															0
1 Lost Magic of Attract + 1 Lost Magic of Attract -> 1 Lost Magic of Attract more skills	1								2	13d,qty=2							usetype				oskill		086	0	10																																																																															0
1 Lost Magic of Blood Golem + 1 Lost Magic of Blood Golem -> 1 Lost Magic of Blood Golem more skills	1								2	13e,qty=2							usetype				oskill		085	0	10																																																																															0
1 Lost Magic of Bone Armor + 1 Lost Magic of Bone Armor -> 1 Lost Magic of Bone Armor more skills	1								2	13f,qty=2							usetype				oskill		068	0	10																																																																															0
1 Lost Magic of Bone Prison + 1 Lost Magic of Bone Prison -> 1 Lost Magic of Bone Prison more skills	1								2	13g,qty=2							usetype				oskill		088	0	10																																																																															0
1 Lost Magic of Bone Spear + 1 Lost Magic of Bone Spear -> 1 Lost Magic of Bone Spear more skills	1								2	13h,qty=2							usetype				oskill		084	0	10																																																																															0
1 Lost Magic of Bone Spirit + 1 Lost Magic of Bone Spirit -> 1 Lost Magic of Bone Spirit more skills	1								2	13i,qty=2							usetype				oskill		093	0	10																																																																															0
1 Lost Magic of Bone Wall + 1 Lost Magic of Bone Wall -> 1 Lost Magic of Bone Wall more skills	1								2	13j,qty=2							usetype				oskill		078	0	10																																																																															0
1 Lost Magic of Clay Golem + 1 Lost Magic of Clay Golem -> 1 Lost Magic of Clay Golem more skills	1								2	13k,qty=2							usetype				oskill		075	0	10																																																																															0
1 Lost Magic of Confuse + 1 Lost Magic of Confuse -> 1 Lost Magic of Confuse more skills	1								2	13l,qty=2							usetype				oskill		081	0	10																																																																															0
1 Lost Magic of Corpse Explosion + 1 Lost Magic of Corpse Explosion -> 1 Lost Magic of Corpse Explosion more skills	1								2	13m,qty=2							usetype				oskill		074	0	10																																																																															0
1 Lost Magic of Decrepify + 1 Lost Magic of Decrepify -> 1 Lost Magic of Decrepify more skills	1								2	13n,qty=2							usetype				oskill		087	0	10																																																																															0
1 Lost Magic of Dim Vision + 1 Lost Magic of Dim Vision -> 1 Lost Magic of Dim Vision more skills	1								2	13o,qty=2							usetype				oskill		071	0	10																																																																															0
1 Lost Magic of Fire Golem + 1 Lost Magic of Fire Golem -> 1 Lost Magic of Fire Golem more skills	1								2	13p,qty=2							usetype				oskill		094	0	10																																																																															0
1 Lost Magic of Golem Mastery + 1 Lost Magic of Golem Mastery -> 1 Lost Magic of Golem Mastery more skills	1								2	13q,qty=2							usetype				oskill		079	0	10																																																																															0
1 Lost Magic of Iron Golem + 1 Lost Magic of Iron Golem -> 1 Lost Magic of Iron Golem more skills	1								2	13r,qty=2							usetype				oskill		090	0	10																																																																															0
1 Lost Magic of Iron Maiden + 1 Lost Magic of Iron Maiden -> 1 Lost Magic of Iron Maiden more skills	1								2	13s,qty=2							usetype				oskill		076	0	10																																																																															0
1 Lost Magic of Life Tap + 1 Lost Magic of Life Tap -> 1 Lost Magic of Life Tap more skills	1								2	13t,qty=2							usetype				oskill		082	0	10																																																																															0
1 Lost Magic of Lower Resist + 1 Lost Magic of Lower Resist -> 1 Lost Magic of Lower Resist more skills	1								2	13u,qty=2							usetype				oskill		091	0	10																																																																															0
1 Lost Magic of Poison Dagger + 1 Lost Magic of Poison Dagger -> 1 Lost Magic of Poison Dagger more skills	1								2	13v,qty=2							usetype				oskill		073	0	10																																																																															0
1 Lost Magic of Poison Explosion + 1 Lost Magic of Poison Explosion -> 1 Lost Magic of Poison Explosion more skills	1								2	13w,qty=2							usetype				oskill		083	0	10																																																																															0
1 Lost Magic of Poison Nova + 1 Lost Magic of Poison Nova -> 1 Lost Magic of Poison Nova more skills	1								2	13x,qty=2							usetype				oskill		092	0	10																																																																															0
1 Lost Magic of Raise Skeletal Mage + 1 Lost Magic of Raise Skeletal Mage -> 1 Lost Magic of Raise Skeletal Mage more skills	1								2	13y,qty=2							usetype				oskill		080	0	10																																																																															0
1 Lost Magic of Raise Skeleton + 1 Lost Magic of Raise Skeleton -> 1 Lost Magic of Raise Skeleton more skills	1								2	13z,qty=2							usetype				oskill		070	0	10																																																																															0
1 Lost Magic of Revive + 1 Lost Magic of Revive -> 1 Lost Magic of Revive more skills	1								2	140,qty=2							usetype				oskill		095	0	10																																																																															0
1 Lost Magic of Skeleton Mastery + 1 Lost Magic of Skeleton Mastery -> 1 Lost Magic of Skeleton Mastery more skills	1								2	141,qty=2							usetype				oskill		069	0	10																																																																															0
1 Lost Magic of Summon Resist + 1 Lost Magic of Summon Resist -> 1 Lost Magic of Summon Resist more skills	1								2	142,qty=2							usetype				oskill		089	0	10																																																																															0
1 Lost Magic of Teeth + 1 Lost Magic of Teeth -> 1 Lost Magic of Teeth more skills	1								2	143,qty=2							usetype				oskill		067	0	10																																																																															0
1 Lost Magic of Terror + 1 Lost Magic of Terror -> 1 Lost Magic of Terror more skills	1								2	144,qty=2							usetype				oskill		077	0	10																																																																															0
1 Lost Magic of Weaken + 1 Lost Magic of Weaken -> 1 Lost Magic of Weaken more skills	1								2	145,qty=2							usetype				oskill		072	0	10																																																																															0
1 Lost Magic of Blessed Aim + 1 Lost Magic of Blessed Aim -> 1 Lost Magic of Blessed Aim more skills	1								2	146,qty=2							usetype				oskill		108	0	10																																																																															0
1 Lost Magic of Blessed Hammer + 1 Lost Magic of Blessed Hammer -> 1 Lost Magic of Blessed Hammer more skills	1								2	147,qty=2							usetype				oskill		112	0	10																																																																															0
1 Lost Magic of Charge + 1 Lost Magic of Charge -> 1 Lost Magic of Charge more skills	1								2	148,qty=2							usetype				oskill		107	0	10																																																																															0
