ItemType	Code	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
Lost Magic of Dim Vision	t13o	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Fire Golem	t13p	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Golem Mastery	t13q	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Iron Golem	t13r	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Iron Maiden	t13s	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Life Tap	t13t	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Lower Resist	t13u	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Poison Dagger	t13v	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Poison Explosion	t13w	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Poison Nova	t13x	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Raise Skeletal Mage	t13y	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Raise Skeleton	t13z	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Revive	t140	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Skeleton Mastery	t141	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Summon Resist	t142	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Teeth	t143	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Terror	t144	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Weaken	t145	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Blessed Aim	t146	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Blessed Hammer	t147	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Charge	t148	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Cleansing	t149	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Concentration	t14a	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Conversion	t14b	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Conviction	t14c	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Defiance	t14d	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Fanaticism	t14e	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Fist of the Heavens	t14f	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Holy Bolt	t14g	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Holy Fire	t14h	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Holy Freeze	t14i	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Holy Shield	t14j	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Holy Shock	t14k	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Meditation	t14l	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Might	t14m	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Prayer	t14n	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Redemption	t14o	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Resist Cold	t14p	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Resist Fire	t14q	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Resist Lightning	t14r	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Sacrifice	t14s	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Salvation	t14t	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Sanctuary	t14u	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Smite	t14v	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Thorns	t14w	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Vengeance	t14x	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Vigor	t14y	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Zeal	t14z	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Blaze	t150	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Blizzard	t151	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Chain Lightning	t152	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Charged Bolt	t153	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Chilling Armor	t154	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Cold Mastery	t155	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Enchant	t156	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Energy Shield	t157	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Fire Ball	t158	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Fire Bolt	t159	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Fire Mastery	t15a	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Fire Wall	t15b	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Frost Nova	t15c	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Frozen Armor	t15d	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Frozen Orb	t15e	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Glacial Spike	t15f	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Hydra	t15g	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Ice Blast	t15h	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Ice Bolt	t15i	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Inferno	t15j	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Lightning	t15k	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Lightning Mastery	t15l	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Meteor	t15m	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Nova	t15n	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Shiver Armor	t15o	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Static Field	t15p	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Telekinesis	t15q	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Teleport	t15r	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Thunder Storm	t15s	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lost Magic of Warmth	t15t	char		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
